Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
QB1;All;Astronomy;1992-2008;from 1992;1981-2008;Biography in Context|
AP2;Elizabeth Torres;Atlantic;1987-1988;1984-1993 1995-1995;1987-1988;LitFinder|Academic OneFile|
AP2;Elizabeth Torres;The Atlantic Monthly  (1971-1981);None;None;1970-1981;None
MUSIC;Trenton Tubbs;Audio;None;None;1989-2000;None
QL671;All;Audubon;None;from 2007;1971-1999;Hobbies & Crafts Reference Center|
TL501;All;Aviation Week & Space Technology;2001-2008;from 2001;1984-2008;Academic Search Complete|
E184.M5;Trenton Tubbs;Aztlan;None;None;1987-2008;None
HF5801;Crystal Boyce;B to B;2000-2008;1999-2013;2000-2008;EBSCO MasterFILE Complete|
GV199.6;All;Backpacker;1990-2007;from 1990;1988-2007;Academic OneFile|
BF1;Matthew Kanekoa;Behavioral Science;1990-1996;1990-1996;1987-1996;EBSCO MasterFILE Complete|
DS701;All;Beijing Review;None;from 2006;1990-1991 1994-1995;Academic Search Complete|
DS701;All;Beijing Review;None;from 2006;1990-1991 1994-1995;Academic Search Complete|
Insurance;All;Best's Review;1984-1984 1993-1999;1984-1984 1993-1999;1979-1999;Business Insights: Global|General OneFile|Business Source Complete|
Insurance;All;Best's Review;1984-1984 1993-1999;1984-1984 1993-1999;1979-1999;Business Insights: Global|General OneFile|Business Source Complete|
HG8011;All;Best's Review Life/Health Insurance Edition;1984-1984 1993-1999;1984-1984 1993-1999;1979-1999;General OneFile|EBSCO MasterFILE Complete|
TP659.A1;All;Beverage World;1989-2007;1989-2016;1988-2007;Business Insights: Global|
GV1040;All;Bicycling;1990-2008;from 1990;1989-2008;Biography in Context|
Occupations And Careers;All;Black Collegian;1990-1998;from 1990;1988-1998;Academic Search Complete|Professional Development Collection|
E185.8;Crystal Boyce;Black Enterprise;1990-1998;from 1990;1989-1998;Business Source Complete|
POLITICAL SCIENCE;Elizabeth Torres;The Black Scholar;1991-1992;from 1991;1987-1992;EBSCO MasterFILE Complete|Student Resources in Context|Academic Search Complete|
HF5001;Crystal Boyce;Bloomberg Businessweek;1996-2004;from 1996;1972-2004;Business Source Complete|Business Source Complete|
K5;Lydia Lee;Boston College Environmental Affairs Law Review;1990-1998;from 1990;1980-1998;Academic Search Complete|
HG1921;Crystal Boyce;Bottomline;None;1991-1992;1996-1996;Business Insights: Global|
HF5801;Crystal Boyce;Brandweek;1992-2007;1992-2011;1992-2007;Academic OneFile|
TK6540;All;Broadcasting;1989-1993;1984-1993 1999-1999;1989-1993;Business Insights: Global|Contemporary Womens Issues|
TK6540;All;Broadcasting and Cable;1993-1999;from 1993;1993-1999;Business Collection|
