Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
AP2;All;Chicago Review;All;from 1988;1988-1990;Literature Resource Center
LB1141;Lisa Hausman;Childhood Education;1993-1996;1993-2014;1989-1996;General OneFile
Children & Youth; Social Services & Welfare; Education;Lisa Hausman;Children Today;1990-1996;1990-1996;1989-1997;Academic Search Complete
HF3128;Crystal Boyce;The China Business Review;1990-1998;from 1990;1987-1998;Military and Government Collection
DS701;Trenton Tubbs;The China Quarterly;All;1960-6 years ago;1987-2003;JSTOR Arts & Sciences II Collection
BR1;Trenton Tubbs;The Christian Century;1992-2002;from 1992;1960-2002;Academic OneFile
BR1;Trenton Tubbs;Christianity Today;1990-2002;from 1992;1989-2002;Academic OneFile
Education;Lisa Hausman;The Chronicle of Higher Education;1999-2009;from 1999;1985-2009;U.S. History in Context
DE1;Trenton Tubbs;Classical Antiquity;All;from 1974;1982-1996;Oxford University Press Journals Online
L11;Lisa Hausman;The Clearing House;All;1990-18 months ago;1990-1998;Academic Search Complete
Z671;All;College & Research Libraries;All;from 1939;1993-2008;Free Access Journals
DS101;Trenton Tubbs;Commentary;1990;from 1990;1970-1990;EBSCO MAS Complete
AP2;All;Commonweal;1990-2002;from 1990;1989-2002;Academic Search Complete
P91;Crystal Boyce;Communication Research;1997-1998;1997-1998;1990-1998;General OneFile
P87;Ruth Hanlon;Communication Theory;All;from 1991;1994-1996;Oxford University Press Journals Online
TK5101.A1;Lydia Lee;Communications News;All;1984-2009;1992-1995;Academic OneFile
JA3;Elizabeth Torres;Comparative Political Studies;1997-1998;1997-1998;1989-1998;Nursing and Allied Health Connection
H1;Elizabeth Torres;Comparative Studies in Society and History;All;1958-6 years ago;1988-2005;JSTOR Arts & Sciences II Collection
HD4973.C643;Crystal Boyce;Compensation and Working Conditions;2001;2001;1997-2001;General OneFile
T385;Lydia Lee;Computer Graphics World;All;from 1995;1995-1998;Business Source Complete 
QA75.5;Mathew Kanekoa;Computer Technology Review;1999-2006;1999-2008;1997-2006;General OneFile
RT50.5;Elizabeth Torres;Computers in Nursing;1996-2002;1996-2002;1991-2002;LWW Total Access Collection 2015-Q1 with Neurology
Computers;Mathew Kanekoa;Computerworld;1996-2004;1999-2014;1993-2004;Academic Search Complete
QH75.A1;Lydia Lee;Conservation Biology;All;1987-6 years ago;1996-2001;JSTOR Life Sciences Collection
QH76.5.N7;Lydia Lee;Conservationist;1990;1990-1995;1979-1990;EBSCO MAS Complete
Architecture; Building and Construction;;Construction Review;All;1984-1997;1984-1997;Academic OneFile
TX335.A1;Lydia Lee;Consumer Reports;1990;1990-2009;1981-1990;General OneFile
Consumer Education & Protection;;Consumers' Research Magazine;1990;1990-2004;1984-1990;Business Source Complete 
HD72;Crystal Boyce;Contemporary Economic Policy;All;1994-1 year ago;1994-1996;Academic OneFile
Education;Lisa Hausman;Contemporary Education;1997-2001;1997-2001;1983-2000;Academic Search Complete
QC1;Lydia Lee;Contemporary physics;1997-2007;from 1997;1996-2007;Taylor & Francis Journals (All Content)
TX901;Lydia Lee;The Cornell Hotel and Restaurant Administration Quarterly;1991-1999;1991-2007;1981-1999;Academic OneFile
HV7231;Elizabeth Torres;Corrections Today;All;from 1994;1994-1998;Academic Search Complete
BF637.C6;Tim Martin;The Counseling Psychologist;1998;1998;1987-1998;General OneFile
HF5601;Crystal Boyce;The CPA Journal;All;from 1989;1989-1998;Academic OneFile
H35;Elizabeth Torres;The CQ Researcher;All;from 1923;1991-1999;CQ Press
Z5118.C9;All;Crime and Delinquency;1997-1998;1997-1998;1987-1998;Academic OneFile
HV9261;Elizabeth Torres;Criminal Justice and Behavior;1997-1998;1997-1998;1987-1998;General OneFile
HV7231;Elizabeth Torres;Criminal Justice Ethics;All;from 1997;1990-1998;Academic Search Complete
BR1;Trenton Tubbs;Cross Currents;1990-2002;1990-1 year ago;1976-2002;Academic Search Complete
GC1005.2;Lydia Lee;Current;2007-2008;2007-18 months ago;1989-2008;Academic Search Complete
Dance;;Dance magazine;1994-1998;from 1994;1984-1998;Academic OneFile
TK5105.7;Lydia Lee;Data Communications;1998-1999;1998-1999;1993-1999;General OneFile
QH324.2;Lydia Lee;Database;All;1988-1999;1988-1998;General OneFile
BF789.D4;Tim Martin;Death Studies;1993;from 1993;1987-1993;Cinahl Complete
RL125;Elizabeth Torres;Dermatology Nursing;All;1996-2010;1999-2007;Academic OneFile
BF699;Tim Martin;Developmental Psychology;All;from 1969;1980-1984;Developmental Psychology
DR1;Trenton Tubbs;East European Quarterly;1994-1995;1994-2008;1987-1995;Global Issues in Context
QH540;Lydia Lee;The Ecologist;1994-2001;1994-2001;1994-2007;Academic OneFile
Business & Economics;Crystal Boyce;Economic Indicators;All;from 1991;1993-1998;Business Insights: Global
HB1;Crystal Boyce;Economic Inquiry;1989;1989-1 year ago;1987-1989;Biography in Context
HG11;Crystal Boyce;The Economist;1988-2008;from 1988;1948-2008;Global Issues in Context
PN4700;Elizabeth Torres;Editor & Publisher;All;from 1994;1994-2008;EBSCO MasterFILE Complete
L11;Lisa Hausman;The Education Digest;All;from 1990;1994-1997;Academic Search Complete
L11;Lisa Hausman;Education Week;1995-2008;from 1995;1987-2008;EBSCO MasterFILE Complete
BF1;Tim Martin;Educational and Psychological Measurement;1997-1998;1997-1998;1988-1998;General OneFile
L11;Lisa Hausman;Educational Theory;1996;1996-1 year ago;1987-1996;Academic Search Complete
LB2300;Lisa Hausman;Educom Review;1995-1999;1995-1999;1989-1999;EBSCO MasterFILE Complete
HD9696.A3;Crystal Boyce;Electronic Business;All;1988-1993; 1997-2001;1988-1993; 1997-2001;Business Insights: Global
HD9696.A3;Crystal Boyce;Electronic Business Today;All;1995-1997;1995-1997;General OneFile
HD7106.U5;Crystal Boyce;Employee Benefit Plan Review;1996-2001; 2003;1996-2001; from 2003;1993-2003;Business SOurce Complete; General OneFile
K5;Elizabeth Torres;Employee Relations Law Journal;1989-2002;from 1989;1988-2002;Academic OneFile
Business & Economics;Crystal Boyce;Employment and Earnings;1997-2001;1997-2007;1996-2001;Academic OneFile
HD4903.5.U58;Crystal Boyce;Employment Relations Today;All;1994- 1 year ago;1996-2007;Business Source Complete
DA20;Trenton Tubbs;English Historical Review;All;1886-6 years ago;1988-2000;JSTOR Arts & Sciences II Collection
Business & Economics;Crystal Boyce;Entrepreneur;All;1996-2006;1996-2003;Biography in Context
Environmental Studies; Technology;;Environment;1975-2002;from 1975;1970-2002;Academic Search Complete
HM206;Elizabeth Torres;Environment and Behavior;1997-1998;1997-1998;1987-1998;Health Reference Center Academic
HC110.E5;Crystal Boyce;Environmental Action;1990;1990-1996;1980-1990;Academic Search Complete
TD194;Lydia Lee;Environmental Quality Management;All;from 1996;1996-2002;Business Source Complete
AP2;All;Esquire;1996-2008;from 1996;1982-2008;EBSCO MasterFILE Complete
Business & Economics;Crystal Boyce;Euromoney;All;from 1986;1987-2007;General OneFile
HD9525.A2;Crystal Boyce;Europe;1992-2001;1992-2002;1988-2001;General OneFile
HV1;Elizabeth Torres;Families in Society;2004-2008;1920-1988; from 2004;1990-2008;SAGE Premier 2018
RA421;Elizabeth Torres;Family & Community Health;1999-2000;1999-2007;1995-2000;Cinahl Complete
HD9000.9.U5;Crystal Boyce;FDA Consumer;All;1984-2007;1989-1990;Academic OneFile
PN1993;Jerome Nicolas;Film Comment;2002;from 2002;1984-2002;Academic Search Complete
;Jerome Nicolas;Film Culture;All;1992-1996;1992-1996;Communication and Mass Media Complete
HG3881;Crystal Boyce;Finance & Development;1989-2007;from 1989;1985-2007;General OneFile
Business & Economics;Crystal Boyce;Financial World;1995-1997;1995-1997;1995-1996; 1996-1997;Business Source Complete; Academic Search Complete
HF5001;Crystal Boyce;Forbes;1990-2008;from 1990;1970-2008;Business Source Complete
PB1;Ruth Hanlon;Foreign Language Annals;2004-2005;from 2004;1987-2005;Linguistics Database
CB158;Trenton Tubbs;The Futurist;1989-1990;1989-2015;1974-1990;Business Insights: Global
